Clock,Pearson_r,MAE_years,Mean_bias_years,RMSE_years
Horvathv1,0.9348418091788949,2.954673806345991,0.3755883731348927,3.8851711362834744
Horvathv2,0.9577284761617884,3.2418258868836975,-2.545250482949016,4.213531937283941
Hannum,0.9286586011880844,3.047755897155209,0.3446572169504214,4.124491344641112
Lin,0.8852123732257763,6.364832519016556,-5.75186916951533,7.60946964631924
VidalBralo,0.7905436218529929,18.913323046736842,18.853191713473684,20.03123629421044
PhenoAge,0.9117606469262406,5.566478392676317,-4.820759100572422,6.959244121057048
HRSInCHPhenoAge,0.9261852256145425,6.661397195580587,-6.169952972587769,7.958298299724664
YingCausAge,0.915741299574759,6.764523230465374,-6.638190935911636,7.93568903956347
YingDamAge,0.6268779368510702,10.207603477537688,7.342783196322781,12.541105509026396
YingAdaptAge,0.6569369913894064,13.071444477918318,-12.330640420941005,15.22381149290107
StocP,0.7526717103999716,5.875328185551246,2.0906571639936415,7.170138279469118
StocH,0.7495837008893901,8.51488694594317,7.134151438616895,9.854544832516707
AltumAge,0.9515664773142251,2.5923287642629522,-1.148567601254112,3.4505169038322716
DunedinPACE,0.501713590172483,,,
